Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774893154,3500,POST,/predict,597.250000,0.000000,130,200,230,290,320,380,420,500,520,530,530,4804,0,130.0,174.8432758122348,2.440809999825433,525.5747720002546,45.01019983347211
1774893154,3500,,Aggregated,1414.000000,0.000000,190,290,330,400,590,710,990,1100,1600,1600,1600,9792,0,190.0,265.53132374508664,2.440809999825433,1623.5437010000169,130.87530637254903
1774893155,4000,GET,/health,416.250000,0.000000,520,620,690,710,920,1000,1400,1500,1600,1600,1600,2534,0,510.0,536.6544526957338,98.84624299957068,1623.5437010000169,34.0
1774893155,4000,GET,/models,400.500000,0.000000,120,180,200,210,310,370,410,490,510,570,570,2454,0,120.0,163.10238059450782,12.126493998948717,574.301923999883,399.0
1774893155,4000,POST,/predict,597.250000,0.000000,130,200,230,290,320,380,420,500,520,530,530,4804,0,130.0,174.8432758122348,2.440809999825433,525.5747720002546,45.01019983347211
1774893155,4000,,Aggregated,1414.000000,0.000000,190,290,330,400,590,710,990,1100,1600,1600,1600,9792,0,190.0,265.53132374508664,2.440809999825433,1623.5437010000169,130.87530637254903
1774893156,4167,GET,/health,416.250000,0.000000,520,620,690,710,920,1000,1400,1500,1600,1600,1600,2534,0,510.0,536.6544526957338,98.84624299957068,1623.5437010000169,34.0
1774893156,4167,GET,/models,400.500000,0.000000,120,180,200,210,310,370,410,490,510,570,570,2454,0,120.0,163.10238059450782,12.126493998948717,574.301923999883,399.0
1774893156,4167,POST,/predict,597.250000,0.000000,130,200,230,290,320,380,420,500,520,530,530,4804,0,130.0,174.8432758122348,2.440809999825433,525.5747720002546,45.01019983347211
1774893156,4167,,Aggregated,1414.000000,0.000000,190,290,330,400,590,710,990,1100,1600,1600,1600,9792,0,190.0,265.53132374508664,2.440809999825433,1623.5437010000169,130.87530637254903
1774893157,4834,GET,/health,385.285714,0.000000,610,760,1000,1300,1700,2200,2700,3200,3400,3400,3400,3147,0,590.0,769.1352929075168,98.84624299957068,3414.840937999543,34.0
1774893157,4834,GET,/models,378.142857,0.000000,170,200,260,300,390,480,690,730,810,810,810,3010,0,170.0,197.33261125877402,12.126493998948717,812.3572360000253,399.0
1774893157,4834,POST,/predict,853.428571,0.000000,220,300,330,390,490,590,700,780,810,820,820,8488,0,210.0,253.45820834848706,2.440809999825433,815.6246510006895,45.00388784165881
1774893157,4834,,Aggregated,1616.857143,0.000000,230,330,420,490,680,990,1600,2100,3400,3400,3400,14645,0,230.0,352.73425736639297,2.440809999825433,3414.840937999543,115.39644930010242
1774893158,5500,GET,/health,385.285714,0.000000,610,760,1000,1300,1700,2200,2700,3200,3400,3400,3400,3147,0,590.0,769.1352929075168,98.84624299957068,3414.840937999543,34.0
1774893158,5500,GET,/models,378.142857,0.000000,170,200,260,300,390,480,690,730,810,810,810,3010,0,170.0,197.33261125877402,12.126493998948717,812.3572360000253,399.0
1774893158,5500,POST,/predict,853.428571,0.000000,220,300,330,390,490,590,700,780,810,820,820,8488,0,210.0,253.45820834848706,2.440809999825433,815.6246510006895,45.00388784165881
1774893158,5500,,Aggregated,1616.857143,0.000000,230,330,420,490,680,990,1600,2100,3400,3400,3400,14645,0,230.0,352.73425736639297,2.440809999825433,3414.840937999543,115.39644930010242
1774893159,5667,GET,/health,385.285714,0.000000,610,760,1000,1300,1700,2200,2700,3200,3400,3400,3400,3147,0,590.0,769.1352929075168,98.84624299957068,3414.840937999543,34.0
1774893159,5667,GET,/models,378.142857,0.000000,170,200,260,300,390,480,690,730,810,810,810,3010,0,170.0,197.33261125877402,12.126493998948717,812.3572360000253,399.0
1774893159,5667,POST,/predict,853.428571,0.000000,220,300,330,390,490,590,700,780,810,820,820,8488,0,210.0,253.45820834848706,2.440809999825433,815.6246510006895,45.00388784165881
1774893159,5667,,Aggregated,1616.857143,0.000000,230,330,420,490,680,990,1600,2100,3400,3400,3400,14645,0,230.0,352.73425736639297,2.440809999825433,3414.840937999543,115.39644930010242
1774893160,6000,GET,/health,327.000000,0.000000,690,1200,1500,2000,3200,3800,4800,5200,5400,5500,5500,3605,0,620.0,1141.3101933248165,98.84624299957068,5488.976171000104,34.0
1774893160,6000,GET,/models,319.100000,0.000000,190,300,370,400,580,670,780,810,910,910,910,3528,0,190.0,247.8251511300742,12.126493998948717,911.435767000512,399.0
1774893160,6000,POST,/predict,987.600000,0.000000,320,430,530,590,690,730,800,840,910,970,980,12764,0,320.0,356.05579418974924,2.440809999825433,984.230269001273,45.001018489501725
1774893160,6000,,Aggregated,1633.700000,0.000000,330,500,590,610,780,1400,3000,3700,5300,5400,5500,19897,0,320.0,479.139897329287,2.440809999825433,5488.976171000104,105.77649896969392
